报文名称,报文类型,报文ID,报文发送类型,报文周期时间,子ID,报文长度,位,信号长度,信号名称(英文),信号名称(中文)
Left_BCM_0x095,Normal,0x095,Event,100,No,8,,,,
Left_BCM_0x095,Normal,0x095,Event,100,No,8,1.0-1.1,2,Eng_Start_Result_Fdbk_Info_S,发动机启动结果反馈信息
Left_BCM_0x095,Normal,0x095,Event,100,No,8,1.2-1.3,2,Eng_Stop_Result_Fdbk_Info_S,发动机关闭结果反馈信息
Left_BCM_0x095,Normal,0x095,Event,100,No,8,1.4-1.5,2,AVPReqEcho_S,AVP允许状态反馈
Left_BCM_0x095,Normal,0x095,Event,100,No,8,1.6,1,Steep_Slope_Prohibit_PowerOff_Remind_S,陡坡禁止下电提醒
Left_BCM_0x095,Normal,0x095,Event,100,No,8,1.7,1,PAD_Exit_PIN_Code_Process_095_S,PAD退出PIN码流程
Left_BCM_0x095,Normal,0x095,Event,100,No,8,2.0-2.1,2,Left_Front_Door_S,左前门
Left_BCM_0x095,Normal,0x095,Event,100,No,8,2.2-2.3,2,Right_Front_Door_S,右前门
Left_BCM_0x095,Normal,0x095,Event,100,No,8,2.4-2.5,2,Left_Back_Door_S,左后门
Left_BCM_0x095,Normal,0x095,Event,100,No,8,2.6-2.7,2,Right_Back_Door_S,右后门
Left_BCM_0x095,Normal,0x095,Event,100,No,8,3.0-3.1,2,Back_Door_Boot_S,背门/行李箱
Left_BCM_0x095,Normal,0x095,Event,100,No,8,3.2-3.5,4,BCMStart_Failure_Fault_095_S,启动失败故障
Left_BCM_0x095,Normal,0x095,Event,100,No,8,3.6-3.7,2,Ente_H_Voltage_Result_Fdbk_Info_S,上高压结果反馈信息
Left_BCM_0x095,Normal,0x095,Event,100,No,8,4.0-4.1,2,Exit_H_Voltage_Result_Fdbk_Info_S,下高压结果反馈信息
Left_BCM_0x095,Normal,0x095,Event,100,No,8,4.2-4.4,3,Frame_type_S,弹框类型
Left_BCM_0x095,Normal,0x095,Event,100,No,8,5.0-5.3,4,Distoetion_Paramenters_Receive_Feedback_S,畸变参数接收反馈
Left_BCM_0x095,Normal,0x095,Event,100,No,8,5.4-5.5,2,Distoetion_Paramenters_Save_Feedback_S,畸变参保存反馈
Left_BCM_0x095,Normal,0x095,Event,100,No,8,5.6-5.7,2,Remote_power_ON_feedback_S,远程上ON档电源反馈
Left_BCM_0x095,Normal,0x095,Event,100,No,8,6.0-8.7,24,Reserved_S,Reserved
Left_BCM_0x496,Normal,0x496,Event,100,Yes,8,,,,
Left_BCM_0x496,Normal,0x496,Event,100,Multiplexor,8,1.0-1.7,8,Child_ID_0x496_S,子ID_0x496
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x01,8,2.0-2.1,2,Active_Charge_Status_S,主动充电状态
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x01,8,2.2-2.3,2,Active_Charge_Mode_S,主动充电模式
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x01,8,2.4-2.5,2,Actv_Charge_Key_Pstin_Rqestn_S,主动充电钥匙位置请求
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x01,8,2.6-2.7,2,IVI_Control_Ceiling_screen_S,IVI控制顶置屏
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x01,8,3.0-3.1,2,Push_Direction_Of_PassengerSeat_Comfort_Paddle_S,副驾舒享拨杆推动方向
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x01,8,3.2-3.3,2,Adjustment_Type_Of_PassengerSeat_Comfort_Paddle_S,副驾舒享拨杆调节类型
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x01,8,3.4,1,PassengerSeat_Comfort_Window_Call_S,副驾舒享浮窗调用
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x01,8,3.5,1,Refrigerator_Door_press_S,冰箱门按下信号
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x01,8,3.6-3.7,2,Physical_Button_Initalization_Of_The_Refrigerator_Slide_Rail_S,冰箱门物理按键初始化
Left_BCM_0x496,Normal,0x496,Event,100,Multiplexor,8,1.0-1.7,8,Child_ID_0x496_S,子ID_0x496
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,2.0-2.1,2,AUTO_Set_Antitheft_S,自动设定防盗
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,2.2-2.3,2,Remote_Driving_S,遥控驾驶
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,2.4-2.5,2,Engine_Antitheft_S,发动机防盗
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,2.6-2.7,2,Pre_Distribution_S,预配电
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,3.0-3.1,2,Remote_Control_S,远程控制
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,3.2-3.3,2,Any_Efctve_Pwr_Profl_Eabld_S,任意电源档遥控有效使能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,3.4-3.5,2,Enable_Automatic_Charge_S,自动充电使能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,3.6-3.7,2,Start_Mode_Selection_S,启动模式选择
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,4.0-4.1,2,Trunk_Back_Door_Section_S,行李箱与后背门选择
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,4.2-4.3,2,Outside_Mirror_Control_S,外后视镜控制方式
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,4.4-4.6,3,Rmte_Frtig_Ulk_Wrniglgt_Slcton_S,遥控/微动开锁告警灯闪烁次数选择
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,4.7,1,Total_Mileage_Issuance_Request_S,总里程下发请求
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,5.0-5.2,3,Rmte_Frtg_Wrnglt_Fls_Slction_S,遥控/微动闭锁告警灯闪烁次数选择
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,5.3-5.4,2,Trigr_Brglr_Alrm_Cmd_To_Eable_S,触发防盗报警喇叭控制命令使能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,5.5-5.7,3,Burglar_Response_Times_S,寻车状态喇叭响应次数
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,6.0-6.1,2,Network_Management_S,网络管理
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,6.2-6.3,2,Trouble_Shooting_S,故障诊断
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,6.4-6.5,2,Itgrtd_Front_Dstrbton_Box_S,集成前舱配电盒
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,6.6-6.7,2,Trnk_Logic_Lock_Dtcton_S,行李箱逻辑微动开关/后背门闭锁检测
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,7.0-7.1,2,Rear_Lf_Rt_Adjstmnt_Swth_S,左、右外后视镜选择、调节开关
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,7.3-7.4,2,Emergency_Brake_Light_Function_S,紧急制动灯功能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,7.5-7.6,2,Headlight_Washing_Function_S,前大灯洗涤功能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,7.7,1,Reserved_S,Reserved
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,8.0-8.1,2,Exterior_rearview_mirror_control_cmd_496_S,外后视镜控制
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,8.2-8.3,2,Reserved_S,Reserved
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,8.4-8.5,2,Bed_Making_Seats_Ctrl_S,铺床座椅控制
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x02,8,8.6-8.7,2,Bed_Making_Mattress_Ctrl_S,铺床床垫控制
Left_BCM_0x496,Normal,0x496,Event,100,Multiplexor,8,1.0-1.7,8,Child_ID_0x496_S,子ID_0x496
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,2.0-2.1,2,Daytime_Running_Lights_Func_S,昼行灯功能
Left_BCM_0x496,Normal,0x496,Event,100,子ID:0x03,8,2.2-2.3,2,Storage_Box_Lighting_Function_S,储物箱照明灯功能
